0	Not Specified
1	Linux
2	Macintosh
3	IRIX
4	Windows NT
5	Windows 95
6	SunOS
7	FreeBSD
8	Windows 98
9	VMS
10	OSF/1
11	OS/2
12	Windows 3.x
13	Amiga OS
14	AIX
15	HP-UX
16	SEGA Saturn
17	WebTV
18	Acorn RICS OS
19	BeOS
20	Perl LWP::UserAgent Library
21	HotJava Browser (OS unavailable)
22	Windows 9x/NT
23	Windows 2000/NT 5
24	Keynote
25	Windows ME
31	Windows XP
32	Pocket PC
33	Windows CE
34	PalmOS
35	Offline Data Import
36	Windows Vista
37	Media Center 2004
38	Media Center 2005
39	Windows Server 2003 and XP x64 Edition
40	Macintosh (iPhone)
41	Windows 7
42	Playstation 3
43	Adobe AIR
44	Windows 8
45	Windows 8.1
1299035	Android 11.6
1319370	Android 4.2.2-M2
1626136	Android 1.7.4-R-20150415
2158061	Android 4.ept-Encoding
2541544	Android SHATEMON-4.2.2
2835242	Mobile OS X 10.19
3096463	Android _Dressapp
3151763	Android 2.0.0-R-20130404
3248369	Android iOS8.0.3
3325042	iOS 5.61
3511209	iOS 7.10.33
3747790	Mobile Android 2.2
4778064	Android 0.091440
5374112	iOS 7.48.77
5438464	Android 10.10.1111
5529135	Android 18.11.1995
5606487	Android 1.8.0-R-20141223
5713025	Android 15.8.97
5756709	Android 2012.3-R-0829.1849
5854263	Android 0.8.9-D-20150410
5980154	Android 16.2.2
6073914	Android 4.3.4-Beta
6195514	iOS 5.13.159
6248497	iOS 3.0.9
6426766	Android 2.3.6-fahmi
6437221	iOS 6.8.19
6850275	Android Dhall
7090646	iOS 7.10.44
7124683	Android 4.8.3
7163781	iOS 4.5.93
7426828	Android Linux
7778788	Android 5.0.5RR
7894547	Android Mangara
8203096	Android ghendhut
8280539	Android 10003.56
8329954	Android 3.0.120
8623320	OS X 8.4
8709299	Android Rama
8803542	Rex AMSS7500/4.0
9056619	RIM 5.1.2
9186093	Mobile iOS 4.3.5
9291209	Android HALO
9598636	Symbian v9.4
9831406	Android 1.2.0-R-20140124
9869526	Linux - Fedora 3.6.4-2
9977642	Android 1.6.0-D-20140424
10827802	Android 442.0
10911128	Android 5000.100.100
10913350	OS X 9.5.480
11326928	Android Genocide
11344940	Android 1.2.9
11372685	Android BimaShelly
11604056	OS X 10.10.0
11905162	Android 8.0.0jelly
12026341	iOS 2.1.3
12077268	Android 2.3.7_self-only
12291769	Android 100.80.90
12330385	Android 4.2.2_s8v01_20131025
12567659	Android 20.1.6-update1
12985072	Android 1038QCW
13103615	Android 10.8
13158311	Android Orefie_V1
13253160	RIM 5.2.1
13383930	Android ODST46
14978457	Android 106.5.3
15091498	Android 17.5.0
15516376	Android Epic_Experience_v1.2.04
15588918	Android POLITRON
16506979	Android 4.2.2-HiSTBAndroidV500R001C00CP0005
17326317	Android 3.8.7
17378866	iOS 6.3.55
17643035	Android ARF2014
17837248	iOS 4.3.30
17887436	Android Cyberus
17958608	Android 01.00.09
18181696	iOS 19.89
18382116	Android 20.0.0
18522912	Android BalabanTURK
18675314	Android Si
18787390	Android 4.4.2-r1
18831258	Android ANDRIYAN
19010439	Android 10.02
19068402	Android 8.8.0
19100429	Android Mehes
19266003	Android SM-T535
19361755	Rex DG26
19372296	Android 2.2.1pro
19429466	Symbian 2.8
19539550	Android 1.7.4-R-20150114
19679036	Android 12.4
19798844	iOS 7.58
19994698	Android 4.0.04
20121668	Android Docomo
20768138	Android 4.ecko
21051066	Android Iski
21095456	iOS 3.12
21320416	OS X 10.3.802
21322747	Windows 2000 98
21454470	Android null
21478748	Android 99
21578790	Android _Dongle
21847765	Android 1.7.4-R-20150120
21900887	iOS 6.18
22095230	Android Boca
22209343	Android 0.9.1-RP-20150421
22707366	iOS 4.6.7
22912976	Android Elijahs
23602489	iOS 5.2.5
23917047	Android 2.3.6LA4
24720937	Android AndroidK
24797235	Android Farkimiz
25101680	Android 1.6.0-R-20140523
25278495	OS X 1061
25671339	Android 20.50.3
25712182	Android 5.7.5
25766573	Android 10000000000000000000000000000000000000000000000000
25782066	Android 4.0.3_s8v01_20130902
25835934	iOS 6.5.2
26201759	Android AVIRNI
26599163	Android Enigma
26759600	Android 3.08
27117917	Android 9.8.0
27194246	Android Motorola
27468014	Android 9.9.4
27468432	iOS 507
27791503	Android pi
28055800	Android _on_Blaze_or_SDP
28334031	Android 5.5.7
28453062	Android MDP005a2.2.
28572849	Android 45.21.52
29127237	Android 7.4.2
29365124	Android hastyOS
29524195	iOS 4.6.6
29747416	Android _4.3.1
29799104	Android Ashraf
30196348	Android 100.10.6
30334078	Android Radovan
30387667	Android 4.40.2
30734195	Android 517.2
30924579	Android U705_V2.12
31613670	Android style
32570294	Windows XP NT 5.1.10215
32968687	Android 2.1.2-R-20150609
33018056	Android abdo
33266973	Android Moi
33594805	iOS 6.10.184
33736295	Android Dak
33898714	iOS 6.36.19
34271849	Android 0.8.6-D-20150704
35323891	Android Asyhadu
35346698	Android Material
35435823	iOS 7.47.88
35523639	Android v1.02_15.14-FR--2011
35696412	Android Sunny_4.0
35842538	Android 888.88.88
36029664	Android 16.1.5-update1
36403322	Android adnroid_4.4.2
36543175	Android DIAS
36755427	iOS 11.0.2
36833488	Android 4.4.2567
36991483	Linux - openSUSE 24.0.1308
37007823	Android 1.7.3-R-20140802
37400961	Android 1.7.4-D-20140924
37534493	Android 2350.2.2350
37541549	Android V4.0.3
37682219	Android 2.4.10
38009349	Android 800000.0
38394714	OS X 11.2.45
38625286	iOS 7.9.1
38786493	Android ya
38933496	Android v1.02_15.14-M_RU
39146761	Android 64.0
39516208	Windows XP NT 5.513
39559490	Android _B1
39705112	Android 4.9
40008915	Android ver4.11.0
40190507	Android 4.1.1_lty
40374054	Android 4.0.4-2013-08-21-v1
40423352	Android 4.0.9
40426577	iOS 7.47.99
40716377	Android 9999.999
41094585	Windows 5.2.1
41236782	Android 2.3.7_q
41261219	Android Android 2.2 / M76XXTSNCJPLYM6036
41515781	Windows
41758075	Android O
41783955	Android 4.0.3-1
41934156	iOS 4.7.7
41950381	Android Death
42008937	Android 5.0.1ATIK
42361320	Android 7.0.1
42496551	Android 6.42
42982541	Android 18.04.00
42999141	Android Marco
43077199	Linux - Red Hat 3.6.17-1
43119320	iOS 5.91
43165754	Android 1.9.6
44357326	Android 10.6.7
44563784	iOS 620
44768944	Android 101118_V04
45063150	Android 4.3jnz
45179228	Android WMT
45383567	iOS 4.3.3.
45529832	Android 14.1.1
45533089	Android 135
45567520	Linux - Red Hat 3.0b5pre-0.beta4
45715651	Android 300314.0
45769298	Android 98000.0.0
46119925	Android Satanic
46495212	Android 100.10
46552123	Android find
46642160	Android MuLlifah
46710037	Android 4.0.3-GT2
47084723	Android WARRIOR
47517323	Android 9.09.97
47775027	iOS 5.14.56
47847831	Android Howard
47905216	Android 2.3.6-by-vaibhav
48033192	Android ver4.4.0
48085092	Android 5.1.4150
48173182	Android 4.3_
48756715	OS X 11.8.5
48981479	Android 4.4.2_r8
48984850	Android xakyra
49030738	Android never
49636170	Android LG-D160
50009484	Android TAWseeF
50671700	Android lolliKat-By_SanchitDang
51010944	Android A200
51365910	Android .bluepill_1.0
52543971	Android 999999999.999.99
52774122	Windows 7 NT 11.06.3
52979411	Android 14.10
53534456	Windows 8 NT 6.05.1
53600496	Android -tablet
53781790	Android 14.7.2
53800375	Android Android-L
53946150	Android 7.4.3
54403542	iOS 4.3.18
54516771	Android Romy
54642187	Android 5.0.2DB
55155473	Android chrysanthemum
55472403	iOS 3.4.5
55500757	Android 42.3.4
55541737	Android 50.1.0
56148965	iOS 7.11.70
56181560	Android PleasureUX
56338062	Android 9.5.1
56490133	Android 2.3.1-update1-TC23-GBV20
56530238	Android 4.4.2KK
56718074	Android i9000ZSNK8
57167507	Linux - openSUSE 3.0.3-5
57463705	Android 20.4.5-update1
57854985	iOS 8.4.2
57870022	Android 22.3.4
58003647	Android 4.1.23
58133032	Android 1.2.0-R-20140122
58139241	Android WesleyPhone
58380903	Windows Phone 8.0.10181
58622304	Android 10.6.4
58753534	Android Lan-2.3.4
58762796	Android 4.2.218
59505778	Android ver3.2.5
59650799	Android 06-04-14
59776479	iOS 5.15.03
59873466	Android 4.52
59973518	Android Madrid.5.0
60008307	Android 16.5.2
60286749	Android Android4.9
60712105	Android Prashant2.3.6
60768700	Android 7.11
61160740	iOS 6.35.87
61424871	Android 1.3.1-update1
61819528	Android 100.8.0
61985541	Android 4.4.4_Jellykat
62049036	iOS 4.1.8
62081083	iOS 20.11
62170751	iOS 6.38.07
62692816	Android 19.12.91
64178602	Android 2.0.0-R-20150410
64210781	Linux - Fedora 3.1.18-1
64677401	iOS 7.49.13
65011442	Android 4.2.2_s8v01_20130820
65172628	iOS 7.47.52
65980948	Android ios8.1
66007123	Android Maviya
66063497	Android 9.0.1
66198780	OS X 6.0.2
66501103	Android OMINIKANG
66796487	iOS 10.11
66894748	iOS 5.14.4
67030401	Android ..
67043277	Android GT-N5120
67268216	Android 4.2.2_s8v01_20140417
67307317	Android Waberdroid
68586561	Android ShERSHERYy
68779461	Android Dualcore-4.0.0
69129358	Linux - Fedora 3.1-0.7
69141272	iOS 6.10.256
70064661	Android Marra.O.S
70086400	iOS 6.8.31
70147795	Android 4.2.2GT-I9505
70665751	iOS 7.57
70815749	Linux - openSUSE 26.0.1411
71061476	Android 2.2.1_TVR
71198138	Android 4.10.10
71337589	iOS 7.4.5
71537967	iOS 6.35.97
71621690	Android Android_2.1
72063298	Android 5.5.0MKAdroid
72413928	Android Canggih
72549264	Android 2.6.29-update1
72796090	Android 16453.836267.929497
72892442	OS X 10.5.2
72953157	Android 1000.9.9
73646901	Android 13.06.1988
73835367	Android 1000.0.THISISJACK
74040856	Android bapa
74295759	Android cucho
74340697	Android Build
74579760	Android DEL
74736226	Android ABEL
74799467	Android 0.9.2-RP-20150528
74827798	Android 133453.3464477.07543
75090755	Android pratz.infi
75109767	Android 4.1.1_edited_by_P
75232463	Android 3.9.4
75272363	iOS 5.15.12
75276331	Android RodherStyled
75302626	Android 6.4.9
75331412	Android 22..3
75646350	Android 7.9.5
75961568	Android 0.4.1
75988726	Android XenOS
76215521	Android Bakpia
76426274	Windows 7 NT 5.0
76927953	Android Rp.5000
76998447	Android 998.998.998
77021718	Android 1.6.1-R-20140410
77307767	OS X 10.9.1.
77622081	Android 4.0.12
77648451	Android 1.6.1-R-20140401
77675166	Android joyos_hm5
77818514	Android CXYy
78178487	Android 4.32
78309944	Android 1.6.1-R-20140416
78348782	Android 3.01kitkat
78359112	Android Propiedad
78463094	Android 1.7.2-R-20140628
78831637	Android FaperZon
78940873	Android BENGKEL-BOJONG-MALAKA
79117787	Android .
79903010	Android 8.8.7
79989533	Android 4.2User-Agent
80132162	Android VALANCE
80339834	Android 6.163
80393033	Android Cross_id
80585093	Android 2.4.7-update1
80852991	Android 5.2.00
81325501	iOS 3.0.3
81387235	Android Ogi
81517347	Android 20.07.86
81856837	Android Hight
82121111	iOS 1580536903
82525310	Android 22.12.93
82707167	Android 6.64
82747171	Android ko
82979247	Windows Phone 10.0.12562
83088821	Android SandwichXperia
83291917	Linux - openSUSE 14.0.829
83485386	Android 24.4.3
84017225	Maemo 4.0
84061850	Android 14.3.94
84559875	Android LEMPER
84621475	Android kunal
84982905	OS X 1053
85069620	Android 2.3.7_star
85681273	Linux - CentOS 3.0.7-2
86145489	Android _T
86176184	RIM 157876240
86493214	Android 4.1.1
86570995	Android 66.6
86766822	Android Hhh
86875998	Android 15.2.5-update1
86950798	Android malam
87067410	Android 25.5.5
87669894	Android Coba
87806492	Android SONIA
88094500	Android Win7
88205293	Android Make
88823924	Android 50.0
89349797	Mobile iOS 7.0.
89648230	Android 5.5_whell
89714150	iOS 9.7.0
89765829	Android WAD101
90018596	Android bile
90209197	Android 14.09.1992
90243028	Android 1.7.4-R-20141216
90909322	Windows NT 307
91039352	Android 4.2.2-2013-09-20-v1
91269540	Android 10.0.87L
91295979	Android 3.1415926
91439965	Mobile iOS 3.1.3
91475428	Android 1.7.2-D-20140520
91536221	Android 1000000000000000000000000
91567890	Android _Smart_TV
91958860	Android 4321
92000484	OS X 10.1.3
92017006	Android 10.
92519233	Android 1.13.01
92985946	L4 AMSS6800/53203
93200575	Android 9930146432
93632247	Android 2.9.3
93884658	iOS 6.36.84
94022947	Android 0.02
94221548	Android 1.7.4-R-20141219
94514297	Android 10.10.5
94671612	Android 3.0.6
94675425	Android MOBADABIA
94710468	Android 0.8.6-D-20150416
95130557	Android SDK
95397144	Android _for_H7
95438189	OS X 10.9.181
95818215	Android GalaxyTab3
95834891	Android tuyenphiero
96878920	Android 2.4.13
97968891	Android 1.0.0-R-20130930
98164808	Android 2.3.744
98246348	Android 135LC
98824011	Android SAEID
99239654	iOS 10.1.7
99257005	Android 0938129716
99480117	Android 9999999999.999999999
99581602	RIM 9.16.0
99667885	Android G-19100
99910234	Android 299877.9
99924089	Mobile OS X 10.8.6
100367040	Android iphone10000
100503274	iOS 6.37.27
100966474	Android 7.5JELLY
101175487	iOS 5.58
101551166	Android 1.2.0-D-20140107
101772872	Android SDX_FROYO_DL25_RC4_2.2.1
101813737	Android 8.8.16
101830623	Android 4.4.4
102297876	Android 4.44444
102555322	Android 9.5.5
102820973	OS X 10.8.
102860200	Android 24.12.97
102928853	Android 2.0.0-R-20130512
102957192	Android D_S_A
103558150	Android 1994.0
103688170	Android WP8
104253079	RIM 5.0.035
104467384	iOS 7.10.96
104541791	Android 53535193.63629.5
104557770	Linux - Mint 1.0.4
104595258	Android 243.6
104814238	Android 2.2.2v
104970059	Android 28.8.8
105113025	Linux - openSUSE 3.0.18-0
105229369	iOS 4.6.10
105340094	Android 2.22.7
105591290	Android 1.3.6
105634770	Android 0.8.6-D-20150619
105760249	Android 4.5L
106265745	Android noobnl-Radioactive-Froyo-v2.0pre2
106541998	OS X 10.90.5
106583137	iOS 2.1
106627372	Android 109634.kadir.avci
106918897	Bada Windown Mobile 6
107085933	Android 2.0.0-R-20130516
107313562	Android 0.0.2
107473768	Android 4.1.1_jockiller
108122685	Android 2834
108264273	Android p-profile
108899518	Mobile iOS 4.2.7
108918124	Android 17.4.0
108991641	Android V8-MS82801-LF1V007
109178401	Android www.htcspain.com
109385365	Android TDK
109566547	Android 9.27.99
109667038	Android 2.3.5-k
109802800	Android 10.4.6
109889666	Android 9.9.69
109996702	Android 34322.4455434445
110199614	Symbian 3.0
110592207	Android 432.11.2
110642698	Android Heavy
110728272	Android yanto.nnk
111098756	Android 4.1.31
111162077	iOS 1000
111260735	Android 777777777.0
111343870	Android 0.8.0-D-20131019
111416306	Android 9.Pret
111749743	Android NexPlayer
111831044	Android 2.14
111938717	Android 2013.6.15
112366830	Android 1.3.9
112752450	Android 20.30.40
